yt_id,date,channel,title
ceU9nuyUxhQ,2023-03-24,Araara,"Omori (SPOILERS) I gotta tell you something!!"
BpZjGsgbIAw,2023-02-10,Araara,"Omori Just cheer up Basil!"
prbHnnSf7qc,2023-01-31,Araara,"Omori Smile for us Sunny!"
YwcFlM-W1Cw,2023-01-09,Araara,"Omori Sayonara stranger after Hero's “Apology”"
47IhDtsMxU8,2022-12-21,Araara,"Omori Do not the Mewo"
zM3rGBQ07XU,2022-12-04,Araara,"(omori) SPOILERS omori fight but Kel plays Bad Apple"
jD7H0Wg-w_k,2022-09-19,Araara,"Ligma (Omori)"
FNKI20PlFBo,2022-09-16,Araara,"Sunny's forgetting something (omori)"
0V0luleZYE4,2022-09-10,Araara,"Why does Dark have no “C”? (Omori)"
ifsXhI6Ti1o,2022-09-10,Araara,"Rice cooker (Omori)"
UEvA2WikMiA,2022-09-10,Araara,"Let the Emo within out, Sunny (Omori)"
XmzXCKRPo-k,2022-09-10,Araara,"Hero, Kel and Sally Outing! (Omori)"
Tr2615BMzKA,2022-09-09,Araara,"Roommates being sick (Omori)"
Bj9xLVNrc2Y,2022-09-08,Araara,"Who drank my orange joe? (Omori)"
p9FQuBoKm-g,2021-06-29,Box_enjoyer,"Wrong Number | OMORI animatic"
2fKGa_zFoU0,2022-08-10,Dreamu Ani,"WHAT'S THE NAME OF THE NATIONAL TREE OF THE PHILIPPINES? | OMORI (Animatic)"
lfDMCos8hxY,2021-05-11,Ghostie Bee,"The Hole (OMORI animatic)"
Wo-eJo-396w,2021-04-29,Ghostie Bee,"OMORI as vines (BIG SPOILERS)"
ZpKFLuTUs0o,2022-12-22,Gobadet,"[ OMORI ] Sunny's Weird Neighbors"
glvAZPOuwcw,2023-02-11,Mishii Jeda,"don't forget — omori animatic"
13KqeSednTw,2021-06-19,crow.mp4,"Salt and Pepper Diner | OMORI animatic"
sxZO5raUmaw,2021-02-10,dedtective,"sunny doesn't notice anything"
OHiVuLz4XYM,2022-10-21,melanchoise,"salt | omori animatic"
